Year,2GCALA,3GCALA,4GCALA,TotalCALA,Season
11411, 2.598 , 8.200 , 0.028 , 10.826 ,0
12112, 1.771 , 5.349 , 0.041 , 7.162 ,0
12212, 1.976 , 5.682 , 0.278 , 7.935 ,0
12312, 2.045 , 5.379 , 0.397 , 7.820 ,0
12412, 2.056 , 6.099 , 0.963 , 9.118 ,0
13113, 0.860 , 4.275 , 0.248 , 6.821 ,0
13213, 1.712 , 5.514 , 1.622 , 8.848 ,0
13313, 1.093 , 5.156 , 2.314 , 8.563 ,0
13413, 1.367 , 6.378 , 3.163 , 10.908 ,0
14114, 0.864 , 4.989 , 2.023 , 7.876 ,0
14214, 1.074 , 4.744 , 2.486 , 8.303 ,0
14314, 0.967 , 4.468 , 2.602 , 8.037 ,0
14414, 0.898 , 4.698 , 3.381 , 8.977 ,0
15115, 0.587 , 2.905 , 2.371 , 5.864 ,0
15215, 0.564 , 6.300 , 2.823 , 6.387 ,0
15315, 0.203 , 3.163 , 3.261 , 6.932 ,0
15415, 0.605 , 3.436 , 3.574 , 7.616 ,0
16116, 0.331 , 2.366 , 2.291 , 4.988 ,0
16216, 0.368 , 2.637 , 2.242 , 5.247 ,0
16316, 0.435 , 2.417 , 2.608 , 5.950 ,0
16416, 0.346 , 2.393 , 3.305 , 6.044 ,0
17117, 0.255 , 1.523 , 2.061 , 3.839 ,0
17217, 0.243 , 1.740 , 2.679 , 4.663 ,0
17317, 0.218 , 1.733 , 3.519 , 5.470 ,0
17417, 0.220 , 1.700 , 3.678 , 5.598 ,0
18118, 0.166 , 1.438 , 3.545 , 5.149 ,0
18218, 0.148 , 1.388 , 3.982 , 5.518 ,0
18318, 0.152 , 1.357 , 4.974 , 6.483 ,0
18418, 0.172 , 1.418 , 4.968 , 6.557 ,0
19119, 0.172 , 1.456 , 3.637 , 5.323 ,0
19219, 0.162 , 1.412 , 3.724 , 5.395 ,0
19319, 0.161 , 1.434 , 3.240 , 5.034 ,0
19419, 0.163 , 1.412 , 4.275 , 6.102 ,0
20120, 0.162 , 1.419 , 3.746 , 5.510 , 2020-03
20220, 0.162 , 1.422 , 3.754 , 5.549 , 2020-06
20320, 0.162 , 1.418 , 3.925 , 5.720 , 2020-09
20420, 0.162 , 1.419 , 3.808 , 5.593 , 2020-12
