Year,2GEMEA,3GEMEA,4GEMEA,TotalEMEA,Season
10410, 17.230 , 27.287 , 1.402 , 45.919 ,0
11111, 14.366 , 21.723 , 1.429 , 37.518 ,0
11211, 14.807 , 24.192 , 1.347 , 40.346 ,0
11311, 14.550 , 20.862 , 2.077 , 37.489 ,0
11411, 14.133 , 23.293 , 3.112 , 40.539 ,0
12112, 9.697 , 17.438 , 2.156 , 29.291 ,0
12212, 10.929 , 18.184 , 3.560 , 32.674 ,0
12312, 9.854 , 15.373 , 4.468 , 29.695 ,0
12412, 9.691 , 19.842 , 6.733 , 36.266 ,0
13113, 7.708 , 14.823 , 5.616 , 28.147 ,0
13213, 6.878 , 17.706 , 15.969 , 32.189 ,0
13313, 11.843 , 17.685 , 8.872 , 32.478 ,0
13413, 7.352 , 18.974 , 10.881 , 37.207 ,0
14114, 4.645 , 15.017 , 8.817 , 28.480 ,0
14214, 5.137 , 15.021 , 10.803 , 30.961 ,0
14314, 4.871 , 16.661 , 13.695 , 35.228 ,0
14414, 4.773 , 17.220 , 14.865 , 36.857 ,0
15115, 3.047 , 10.676 , 11.289 , 25.012 ,0
15215, 3.481 , 14.173 , 14.962 , 32.616 ,0
15315, 2.899 , 22.039 , 12.212 , 26.711 ,0
15415, 3.423 , 14.058 , 13.523 , 31.003 ,0
16116, 2.058 , 8.584 , 9.431 , 42.152 ,0
16216, 2.219 , 9.988 , 13.430 , 25.637 ,0
16316, 1.737 , 7.471 , 11.281 , 20.490 ,0
16416, 2.061 , 10.284 , 15.490 , 27.834 ,0
17117, 1.492 , 6.464 , 10.083 , 18.039 ,0
17217, 1.527 , 7.069 , 12.849 , 21.446 ,0
17317, 1.226 , 6.858 , 12.797 , 20.882 ,0
17417, 1.361 , 7.670 , 15.519 , 24.550 ,0
18118, 1.077 , 6.358 , 14.214 , 21.649 ,0
18218, 0.905 , 6.094 , 12.368 , 19.367 ,0
18318, 0.899 , 5.373 , 13.228 , 19.499 ,0
18418, 0.965 , 6.596 , 17.572 , 25.133 ,0
19119, 0.929 , 3.885 , 12.784 , 17.752 ,0
19219, 0.973 , 3.816 , 14.025 , 19.313 ,0
19319, 0.867 , 3.924 , 13.837 , 19.080 ,0
19419, 0.984 , 5.144 , 18.083 , 25.573 ,0
20120, 0.941 , 4.295 , 15.315 , 21.322 , 2020-03
20220, 0.931 , 4.454 , 15.745 , 21.992 , 2020-06
20320, 0.952 , 4.631 , 16.381 , 22.962 , 2020-09
20420, 0.941 , 4.460 , 15.814 , 22.092 , 2020-12
