Year,2GNA,3GNA,4GNA,TotalNA
10410, 9.709 , 17.515 , 3.061 , 30.284 
11111, 13.085 , 11.909 , 2.704 , 27.698 
11211, 12.891 , 13.260 , 2.558 , 28.709 
11311, 12.942 , 8.031 , 5.160 , 26.133 
11411, 8.580 , 6.391 , 4.746 , 19.717 
12112, 7.518 , 9.687 , 6.633 , 23.838 
12212, 7.165 , 7.618 , 6.667 , 21.450 
12312, 6.897 , 8.414 , 7.906 , 23.217 
12412, 9.785 , 8.943 , 10.173 , 28.901 
13113, 7.460 , 8.585 , 13.097 , 29.142 
13213, 5.469 , 7.176 , 3.925 , 25.727 
13313, 5.643 , 6.699 , 12.095 , 24.436 
13413, 5.226 , 4.344 , 12.471 , 22.040 
14114, 2.657 , 5.237 , 14.389 , 22.284 
14214, 2.227 , 3.982 , 19.081 , 25.290 
14314, 2.107 , 3.587 , 19.427 , 25.121 
14414, 1.402 , 3.342 , 14.999 , 19.743 
15115, 0.920 , 2.672 , 14.994 , 5.576 
15215, 0.624 , 2.633 , 17.353 , 20.610 
15315, 0.747 , 1.909 , 16.729 , 19.385 
15415, 0.551 , 1.840 , 20.367 , 22.759 
16116, 0.341 , 1.113 , 16.391 , 17.846 
16216, 0.261 , 1.221 , 16.045 , 17.527 
16316, 0.232 , 0.935 , 17.221 , 18.388 
16416, 0.248 , 0.995 , 20.040 , 21.284 
17117, 0.170 , 0.811 , 19.764 , 20.745 
17217, 0.134 , 0.645 , 17.703 , 18.481 
17317, 0.104 , 0.527 , 16.317 , 16.948 
17417, 0.117 , 0.740 , 24.895 , 25.751 
18118, 0.078 , 0.423 , 19.194 , 19.695 
18218, 0.074 , 0.610 , 24.283 , 24.967 
18318, 0.065 , 0.361 , 24.501 , 24.927 
18418, 0.076 , 0.612 , 29.660 , 30.840 
19119, 0.075 , 0.589 , 20.810 , 22.600 
19219, 0.081 , 0.717 , 20.952 , 25.367 
19319, 0.072 , 0.661 , 19.234 , 26.147 
19419, 0.075 , 0.607 , 13.407 , 23.640 
20120, 0.076 , 0.662 , 17.864 , 25.051
20220, 0.074 , 0.623 , 16.835 , 24.946
20320, 0.075 , 0.631 , 16.035 , 24.546
20420, 0.075 , 0.639 , 16.911 , 24.848
